SN,Total Feedback Given,Total Configured,Questions,Weightage 1,Weightage 2,Weightage 3,Weightage 4,Weightage 5,Course Name ,Basic Course,Average, Percentage
1,1,12,How much of the syllabus was covered in the class?,0,0,1,0,0,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,3,60
2,1,12,How well did the teachers prepare for the classes?,0,0,0,0,1,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,5,100
3,1,12,How well were the teachers able to communicate?,0,0,0,0,1,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,5,100
4,1,12,The teacher’s approach to teaching can best be described as,0,0,1,0,0,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,3,60
5,1,12,Fairness of the internal evaluation process by the teachers.,0,0,0,1,0,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,4,80
6,1,12,Was your performance in assignments discussed with you?,0,0,0,1,0,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,4,80
7,1,12,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,0,1,0,0,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,3,60
8,1,12,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,1,0,0,0,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,2,40
9,1,12,The institution provides multiple opportunities to learn and grow.,0,0,0,1,0,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,4,80
10,1,12,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,0,1,0,0,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,3,60
11,1,12,Your mentor does a necessary follow-up with an assigned task to you.,0,0,1,0,0,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,3,60
12,1,12,The teachers illustrate the concepts through examples and applications.,0,0,0,0,1,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,5,100
13,1,12,The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,1,0,0,0,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,2,40
14,1,12,Teachers are able to identify your weaknesses and help you to overcome them.,0,0,1,0,0,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,3,60
15,1,12,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,1,0,0,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,3,60
16,1,12,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,1,0,0,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,3,60
17,1,12,Teachers encourage you to participate in extracurricular activities.,0,0,0,1,0,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,4,80
18,1,12,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,1,0,0,0,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,2,40
19,1,12,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,0,0,1,0,FY B.VOC FOOD TECHNOLOGY,B.VOC FOOD TECHNOLOGY,4,80
